City,MuslimNumbers
FAIR OAKS,640
FAIRFAX,54
FAIRFIELD,1226
FALL RIVER MILLS,4
FALLBROOK,326
FARMERSVILLE,21
FELTON,55
FERNDALE,8
FILLMORE,45
FIREBAUGH,62
FIVE POINTS,1
FLOURNOY,1
FOLSOM,1690
FONTANA,2466
FOOTHILL RANCH,377
FOREST KNOLLS,13
FOREST RANCH,4
FORESTHILL,10
FORESTVILLE,15
FORT BRAGG,56
FORT IRWIN,36
FORT JONES,1
FORTUNA,32
FOSTER CITY,734
FOUNTAIN VALLEY,1200
FOWLER,26
FRAZIER PARK,30
FREEDOM,12
FREMONT,5695
FRENCH CAMP,9
FRENCH GULCH,3
FRESNO,4082
FRIANT,5
FULLERTON,1606
FULTON,6
GALT,138
GARBERVILLE,12
GARDEN GROVE,1295
GARDEN VALLEY,10
GARDENA,601
GASQUET,1
GEORGETOWN,4
GERBER,7
GEYSERVILLE,4
GILMAN HOT SPRINGS,1
GILROY,489
GLEN ELLEN,13
GLENDALE,3798
GLENDORA,1124
GLENN,2
GLENNVILLE,1
GOLD RIVER,160
GOLD RUN,1
GOLETA,574
GONZALES,3
GORMAN,2
GOSHEN,1
GRAEAGLE,5
GRANADA HILL,1
GRANADA HILLS,1585
GRAND TERRACE,124
GRANITE BAY,477
GRASS VALLEY,212
GRATON,4
GREEN VALLEY,1
GREEN VALLEY LAKE,2
GREENBRAE,114
GREENFIELD,21
GREENVILLE,1
GREENWOOD,8
GRIDLEY,32
GRIMES,11
GRIZZLY FLATS,1
GROVELAND,17
GROVER BEACH,65
GUADALUPE,3
GUALALA,6
GUATAY,1
GUERNEVILLE,21
GUINDA,2
GUSTINE,23
HACIENDA HEIGHTS,261
HALF MOON BAY,102
HAMILTON CITY,3
HANFORD,207
HAPPY CAMP,1
HARBOR CITY,352
HARMONY,1
HATHAWAY PINES,1
HAWAIIAN GARDENS,34
HAWTHORNE,1109
HAYFORK,6
HAYWARD,2895
HEALDSBURG,60
HEBER,2
HELENDALE,20
HELM,1
HEMET,689
HERALD,8
HERCULES,429
HERLONG,2
HERMOSA BEACH,278
HESPERIA,340
HIDDEN HILLS,39
HIDDEN VALLEY LAKE,30
HIGHLAND,634
HILLSBOROUGH,326
HILMAR,18
HINKLEY,2
HOLLISTER,200
HOLLYWOOD,31
HOLTVILLE,3
HOMELAND,36
HOMEWOOD,5
HOOD,1
HOOPA,3
HOPLAND,2
HORNBROOK,3
HORNITOS,1
HUGHSON,43
HUNTINGTON BEACH,3294
HUNTINGTON PARK,68
HUNTINGTON PK,1
HURON,37
HYDESVILLE,3
IDYLLWILD,17
IGO,1
IMPERIAL,75
IMPERIAL BEACH,115
INDEPENDENCE,3
INDIAN WELLS,46
INDIO,360
INDIO HILLS,1
INGLEWOOD,754
INVERNESS,8
INYOKERN,6
IONE,16
IRVINE,13436
IRWINDALE,3
ISLETON,4
IVANHOE,9
JACKSON,34
JACUMBA,5
JAMESTOWN,10
JAMUL,195
JANESVILLE,21
JENNER,3
JOHANNESBURG,4
JOHNSON VALLEY,2
JOSHUA TREE,49
JULIAN,19
JUNCTION CITY,9
JUNE LAKE,3
JURUPA VALLEY,500
KEELER,1
KEENE,1
KELSEYVILLE,41
KENSINGTON,114
KENTFIELD,48
KENWOOD,13
KERMAN,86
KERNVILLE,1
KETTLEMAN CITY,1
KEYES,31
KING CITY,54
KINGS BEACH,9
KINGSBURG,62
KIRKWOOD,2
KLAMATH,2
KLAMATH RIVER,3
KNEELAND,2
KNIGHTS LANDING,1
KNIGHTSEN,1
KORBEL,1
LA CANADA,1
LA CANADA FLINTRIDGE,495
LA CRESCENTA,318
LA GRANGE,16
LA HABRA,515
LA HABRA HEIGHTS,76
LA HONDA,8
LA JOLLA,1182
LA MESA,1198
LA MIRADA,470
LA PALMA,334
LA PUENTE,224
LA QUINTA,305
LA TUNA CANYON,26
LA VERNE,721
LADERA RANCH,694
LAFAYETTE,556
LAGUNA BEACH,572
LAGUNA HILLS,1347
LAGUNA NIGUEL,3068
LAGUNA WOODS,464
LAGUNITAS,6
LAKE ARROWHEAD,46
LAKE BALBOA,5
LAKE CITY,2
LAKE ELIZABETH,1
LAKE ELSINORE,684
LAKE FOREST,1637
LAKE HUGHES,9
LAKE ISABELLA,27
LAKE SHERWOOD,33
LAKE VIEW TERRACE,4
LAKEHEAD,2
LAKEPORT,32
LAKESIDE,534
LAKEWOOD,585
LAMIRADA,1
LAMONT,17
LANCASTER,1232
LANDERS,10
LARKSPUR,92
LATHROP,494
LATON,1
LAWNDALE,519
LAYTONVILLE,6
LE GRAND,4
LEBEC,3
LEE VINING,2
LEGGETT,2
LEMON GROVE,268
LEMOORE,55
LENNOX,1
LEONA VALLEY,7
LEWISTON,6
LINCOLN,571
LINDEN,12
LINDSAY,41
LITCHFIELD,2
LITTLE RIVER,2
LITTLEROCK,27
LIVE OAK,85
LIVERMORE,1260
LIVINGSTON,72
LLANO,5
LOCKEFORD,8
LOCKWOOD,1
LODI,1203
LOLETA,2
LOMA LINDA,447
LOMITA,381
LOMPOC,138
LONE PINE,3
LONG BEACH,3522
LOOKOUT,3
LOOMIS,112
LOS ALAMITOS,289
LOS ALAMOS,7
LOS ALTOS,900
LOS ALTOS HILLS,280
LOS ANGELES,25415
LOS BANOS,110
LOS FELIZ,5
LOS GATOS,1274
LOS MOLINOS,8
LOS OLIVOS,7
LOS OSOS,62
LOST HILLS,1
LOTUS,3
LOWER LAKE,6
LUCERNE,11
LUCERNE VALLEY,11
LYNWOOD,67
LYTLE CREEK,3
MAD RIVER,1
MADERA,397
MAGALIA,24
MALIBU,303
MAMMOTH LAKES,34
MANCHESTER,8
MANHATTAN BCH,5
MANHATTAN BEACH,597
MANTECA,855
MARCH AIR RESRV BASE,1
MARE ISLAND,7
MARICOPA,2
MARIN CITY,75
MARINA,366
MARINA DEL REY,647
MARINA DL REY,6
MARIPOSA,27
MARKLEEVILLE,1
MARTINEZ,577
MARYSVILLE,109
MATHER,60
MAXWELL,1
MAYWOOD,20
MC CLELLAN,1
MC FARLAND,19
MC KITTRICK,1
MCARTHUR,6
MCCLOUD,2
MCKINLEYVILLE,84
MEADOW VISTA,24
MECCA,4
MENDOCINO,10
MENDOTA,40
MENIFEE,946
MENLO PARK,851
MENTONE,95
MERCED,538
MERIDIAN,3
MIDDLETOWN,7
MIDPINES,1
MIDWAY CITY,60
MILL VALLEY,409
MILLBRAE,617
MILLVILLE,6
MILPITAS,1059
MINERAL,2
MIRAMONTE,2
MIRANDA,7
MISSION HILLS,198
MISSION VIEJO,3955
MIWUK VILLAGE,4
MOCCASIN,2
MODESTO,2334
MOJAVE,14
MOKELUMNE HILL,4
MONROVIA,390
MONTAGUE,12
MONTARA,20
MONTCLAIR,237
MONTE RIO,1
MONTE SERENO,137
MONTEBELLO,215
MONTEREY,465
MONTEREY PARK,240
MONTROSE,119
MOORPARK,659
MORAGA,297
MORENO VALLEY,1754
MORGAN HILL,739
MORONGO VALLEY,14
MORRO BAY,49
MOSS BEACH,20
MOSS LANDING,3
MOUNT AUKUM,1
MOUNT HERMON,2
MOUNTAIN CENTER,13
MOUNTAIN HOUSE,787
MOUNTAIN RANCH,6
MOUNTAIN VIEW,1315
MT BALDY,3
MT SHASTA,28
MURPHYS,8
MURRIETA,1871
N HOLLYWOOD,24
N HOLYWOOD,1
NAPA,500
NAS LEMOORE,6
NATIONAL CITY,186
NAVARRO,1
NEEDLES,15
NEVADA CITY,95
NEWARK,919
NEWBERRY SPRINGS,14
NEWBURY PARK,724
NEWCASTLE,35
NEWHALL,348
NEWMAN,44
NEWPORT BEACH,1303
NEWPORT COAST,769
NICASIO,1
NICE,12
NICOLAUS,1
NILAND,2
NIPOMO,104
NORCO,203
NORTH FORK,2
NORTH HIGHLANDS,153
NORTH HILLS,809
NORTH HOLLYWOOD,1508
NORTH PALM SPRINGS,1
NORTH SAN JUAN,1
NORTHRIDGE,3145
NORWALK,499
NOVATO,699
NUEVO,29
OAK HILLS,83
OAK PARK,336
OAK RUN,2
OAK VIEW,11
OAKDALE,123
OAKHURST,37
OAKLAND,6357
OAKLEY,410
OCCIDENTAL,9
OCEANO,17
OCEANSIDE,1201
OCOTILLO,1
OCOTILLO WELLS,1
OJAI,104
OLANCHA,1
OLD STATION,1
OLEMA,1
OLIVEHURST,61
OLYMPIC VALLEY,8
ONO,1
ONTARIO,1041
ORANGE,2025
ORANGE COVE,24
ORANGEVALE,296
ORCUTT,1
OREGON HOUSE,7
ORINDA,405
ORLAND,19
ORLEANS,1
ORO GRANDE,1
OROSI,11
OROVILLE,97
OXNARD,616
PACHECO,47
PACIFIC GROVE,222
PACIFIC HOUSE,2
PACIFIC PALISADES,642
PACIFIC PLSDS,4
PACIFICA,471
PACOIMA,120
PAICINES,1
PALA,3
PALERMO,1
PALM DESERT,703
PALM SPRINGS,421
PALMDALE,1165
PALO ALTO,1296
PALO CEDRO,24
PALO VERDE,1
PALOS VERDES ESTATES,318
PALOS VERDES PEN,48
PANAMINT VALLEY,2
PANORAMA CITY,434
PARADISE,47
PARAMOUNT,146
PARLIER,12
PASADENA,2082
PASO ROBLES,198
PATTERSON,227
PATTON,3
PAUMA VALLEY,6
PAYNES CREEK,2
PEARBLOSSOM,3
PEBBLE BEACH,63
PENN VALLEY,42
PENNGROVE,33
PENRYN,12
PERRIS,448
PESCADERO,6
PETALUMA,586
PETROLIA,2
PHELAN,28
PICO RIVERA,129
PIEDMONT,173
PIERCY,1
PIKE CITY,3
PILOT HILL,4
PINE GROVE,21
PINE MOUNTAIN CLUB,13
PINE VALLEY,3
PINOLE,281
PINON HILLS,19
PIONEER,10
PIONEERTOWN,7
PIRU,4
PISMO BEACH,87
PITTSBURG,770
PIXLEY,5
PLACENTIA,823
PLACERVILLE,154
PLANADA,6
PLAYA DEL REY,280
PLAYA VISTA,120
