school_district,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
kerman unified school district,87,31,35.63
kern high school district,3832,1759,45.9
kings canyon joint unified school district,193,66,34.2
kingsburg joint union high school district,68,46,67.65
klamath-trinity joint unified school district,10,6,60.0
konocti unified school district,58,24,41.38
la cañada unified school district,426,292,68.54
la honda-pescadero unified school district,14,14,100.0
laguna beach unified school district,773,509,65.85
lake elsinore unified school district,1144,576,50.35
lake tahoe unified school district,161,96,59.63
lakeport unified school district,32,17,53.12
lammersville joint unified school district,793,495,62.42
las virgenes unified school district,2114,1417,67.03
lassen union high school district,66,48,72.73
laytonville unified school district,8,4,50.0
le grand union high school district,10,5,50.0
leggett valley unified school district,4,1,25.0
lemoore union high school district,63,21,33.33
liberty union high school district,1765,973,55.13
lincoln unified school district,368,197,53.53
linden unified school district,43,31,72.09
lindsay unified school district,39,12,30.77
live oak unified school district,83,58,69.88
livermore valley joint unified school district,1275,753,59.06
lodi unified school district,2330,1083,46.48
lompoc unified school district,142,73,51.41
lone pine unified school district,5,2,40.0
long beach unified school district,3906,2333,59.73
los alamitos unified school district,651,438,67.28
los angeles unified school district,62084,35142,56.6
los banos unified school district,115,65,56.52
los gatos-saratoga joint union school district,1403,967,68.92
los molinos unified school district,13,10,76.92
lucerne valley unified school district,13,5,38.46
lucia mar unified school district,446,311,69.73
lynwood unified school district,68,24,35.29
madera unified school district,284,148,52.11
maine consolidated school district,3,2,66.67
mammoth unified school district,39,24,61.54
manhattan beach unified school district,602,425,70.6
manteca unified school district,1398,669,47.85
maricopa unified school district,3,1,33.33
mariposa county unified school district,45,33,73.33
martinez unified school district,325,200,61.54
marysville joint unified school district,211,120,56.87
mattole unified school district,2,1,50.0
maxwell unified school district,1,1,100.0
mcfarland unified school district,10,3,30.0
mclean county school district,4,1,25.0
mendocino unified school district,21,15,71.43
mendota unified school district,40,10,25.0
merced union high school district,730,351,48.08
mesa unified district,1,1,100.0
middletown unified school district,38,20,52.63
milpitas unified school district,1049,607,57.86
modesto city high school district,2466,1142,46.31
