City,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
Dobbins,9,6,66.67
Dorrington,2,1,50.0
Dos Palos,15,7,46.67
Douglas City,3,1,33.33
Downey,1262,662,52.46
Duarte,327,201,61.47
Dublin,1906,1023,53.67
Ducor,2,1,50.0
Dulzura,3,0,0.0
Dunlap,6,4,66.67
Dunnigan,6,2,33.33
Dunsmuir,13,9,69.23
Durham,8,6,75.0
Dutch Flat,2,0,0.0
Earlimart,12,5,41.67
East Garrison,71,36,50.7
East Palo Alto,157,80,50.96
Eastvale,1213,720,59.36
Edwards Afb,5,0,0.0
El Cajon,8461,4772,56.4
El Cento,1,0,0.0
El Centro,121,52,42.98
El Cerrito,560,338,60.36
El Dorado,13,9,69.23
El Dorado Hills,910,623,68.46
El Granada,50,42,84.0
El Macero,25,18,72.0
El Monte,130,63,48.46
El Nido,1,1,100.0
El Portal,1,0,0.0
El Segundo,268,160,59.7
El Sobrante,223,118,52.91
El Verano,1,1,100.0
Elk,3,2,66.67
Elk Grove,3998,1932,48.32
Elverta,26,19,73.08
Emeryville,351,153,43.59
Encinitas,578,438,75.78
Encino,2162,1281,59.25
Escalon,37,19,51.35
Escondido,1895,1131,59.68
Esparto,5,3,60.0
Etna,15,12,80.0
Eureka,183,105,57.38
Exeter,19,10,52.63
Fair Oaks,640,408,63.75
Fairfax,54,37,68.52
Fairfield,1226,693,56.53
Fall River Mills,4,4,100.0
Fallbrook,326,223,68.4
Farmersville,21,6,28.57
Felton,55,37,67.27
Ferndale,8,6,75.0
Fillmore,45,29,64.44
Firebaugh,62,9,14.52
Five Points,1,0,0.0
Flournoy,1,0,0.0
Folsom,1690,1138,67.34
Fontana,2466,1207,48.95
Foothill Ranch,377,249,66.05
Forest Knolls,13,10,76.92
Forest Ranch,4,2,50.0
Foresthill,10,6,60.0
Forestville,15,11,73.33
Fort Bragg,56,39,69.64
Fort Irwin,36,6,16.67
Fort Jones,1,1,100.0
Fortuna,32,21,65.62
Foster City,734,448,61.04
Fountain Valley,1200,686,57.17
Fowler,26,13,50.0
Frazier Park,30,17,56.67
Freedom,12,1,8.33
Fremont,5695,2851,50.06
French Camp,9,6,66.67
French Gulch,3,0,0.0
Fresno,4082,1756,43.02
Friant,5,2,40.0
Fullerton,1606,907,56.48
Fulton,6,5,83.33
Galt,138,77,55.8
Garberville,12,2,16.67
Garden Grove,1295,674,52.05
Garden Valley,10,10,100.0
Gardena,601,296,49.25
Gasquet,1,0,0.0
Georgetown,4,3,75.0
Gerber,7,5,71.43
Geyserville,4,2,50.0
Gilman Hot Springs,1,1,100.0
Gilroy,489,316,64.62
Glen Ellen,13,9,69.23
Glendale,3798,2131,56.11
Glendora,1124,712,63.35
Glenn,2,1,50.0
Glennville,1,1,100.0
Gold River,160,97,60.62
Gold Run,1,1,100.0
Goleta,574,363,63.24
Gonzales,3,1,33.33
Gorman,2,1,50.0
Goshen,1,1,100.0
Graeagle,5,3,60.0
Granada Hill,1,0,0.0
Granada Hills,1585,948,59.81
Grand Terrace,124,77,62.1
Granite Bay,477,301,63.1
Grass Valley,212,151,71.23
Graton,4,2,50.0
Green Valley,1,1,100.0
Green Valley Lake,2,1,50.0
Greenbrae,114,86,75.44
Greenfield,21,11,52.38
Greenville,1,0,0.0
Greenwood,8,6,75.0
Gridley,32,19,59.38
Grimes,11,3,27.27
Grizzly Flats,1,1,100.0
Groveland,17,14,82.35
Grover Beach,65,39,60.0
Guadalupe,3,1,33.33
Gualala,6,4,66.67
Guatay,1,1,100.0
Guerneville,21,15,71.43
Guinda,2,2,100.0
Gustine,23,13,56.52
Hacienda Heights,261,133,50.96
Half Moon Bay,102,64,62.75
Hamilton City,3,0,0.0
Hanford,207,97,46.86
Happy Camp,1,0,0.0
Harbor City,352,191,54.26
Harmony,1,1,100.0
Hathaway Pines,1,1,100.0
Hawaiian Gardens,34,19,55.88
Hawthorne,1109,493,44.45
Hayfork,6,3,50.0
Hayward,2895,1270,43.87
Healdsburg,60,40,66.67
Heber,2,0,0.0
Helendale,20,12,60.0
Helm,1,0,0.0
Hemet,689,301,43.69
Herald,8,3,37.5
Hercules,429,225,52.45
Herlong,2,0,0.0
Hermosa Beach,278,191,68.71
Hesperia,340,158,46.47
Hidden Hills,39,24,61.54
Hidden Valley Lake,30,16,53.33
Highland,634,312,49.21
Hillsborough,326,228,69.94
Hilmar,18,16,88.89
Hinkley,2,0,0.0
Hollister,200,106,53.0
Hollywood,31,17,54.84
Holtville,3,2,66.67
Homeland,36,22,61.11
Homewood,5,3,60.0
Hood,1,1,100.0
Hoopa,3,1,33.33
Hopland,2,1,50.0
Hornbrook,3,0,0.0
Hornitos,1,0,0.0
Hughson,43,24,55.81
Huntington Beach,3294,2159,65.54
Huntington Park,68,36,52.94
Huntington Pk,1,1,100.0
Huron,37,21,56.76
Hydesville,3,2,66.67
Idyllwild,17,11,64.71
Igo,1,0,0.0
Imperial,75,31,41.33
Imperial Beach,115,68,59.13
Independence,3,1,33.33
Indian Wells,46,31,67.39
Indio,360,201,55.83
Indio Hills,1,0,0.0
Inglewood,754,373,49.47
Inverness,8,5,62.5
Inyokern,6,3,50.0
Ione,16,10,62.5
Irvine,13436,7694,57.26
Irwindale,3,3,100.0
Isleton,4,4,100.0
Ivanhoe,9,4,44.44
Jackson,34,29,85.29
Jacumba,5,5,100.0
Jamestown,10,8,80.0
Jamul,195,143,73.33
Janesville,21,16,76.19
Jenner,3,2,66.67
Johannesburg,4,0,0.0
Johnson Valley,2,2,100.0
Joshua Tree,49,28,57.14
Julian,19,16,84.21
Junction City,9,4,44.44
June Lake,3,2,66.67
Jurupa Valley,500,234,46.8
Keeler,1,1,100.0
Keene,1,1,100.0
Kelseyville,41,28,68.29
Kensington,114,79,69.3
Kentfield,48,39,81.25
Kenwood,13,11,84.62
Kerman,86,30,34.88
Kernville,1,0,0.0
Kettleman City,1,0,0.0
Keyes,31,21,67.74
King City,54,13,24.07
Kings Beach,9,3,33.33
Kingsburg,62,43,69.35
Kirkwood,2,1,50.0
Klamath,2,1,50.0
Klamath River,3,2,66.67
Kneeland,2,1,50.0
Knights Landing,1,0,0.0
Knightsen,1,1,100.0
Korbel,1,1,100.0
La Canada,1,1,100.0
La Canada Flintridge,495,343,69.29
La Crescenta,318,219,68.87
La Grange,16,11,68.75
La Habra,515,308,59.81
La Habra Heights,76,53,69.74
La Honda,8,8,100.0
La Jolla,1182,832,70.39
La Mesa,1198,670,55.93
La Mirada,470,306,65.11
La Palma,334,168,50.3
La Puente,224,111,49.55
La Quinta,305,198,64.92
La Tuna Canyon,26,12,46.15
La Verne,721,433,60.06
Ladera Ranch,694,462,66.57
Lafayette,556,388,69.78
Laguna Beach,572,383,66.96
Laguna Hills,1347,844,62.66
Laguna Niguel,3068,1907,62.16
Laguna Woods,464,298,64.22
Lagunitas,6,6,100.0
Lake Arrowhead,46,25,54.35
Lake Balboa,5,3,60.0
Lake City,2,0,0.0
Lake Elizabeth,1,1,100.0
Lake Elsinore,684,338,49.42
Lake Forest,1637,991,60.54
Lake Hughes,9,6,66.67
Lake Isabella,27,16,59.26
Lake Sherwood,33,25,75.76
Lake View Terrace,4,1,25.0
Lakehead,2,1,50.0
Lakeport,32,17,53.12
Lakeside,534,281,52.62
Lakewood,585,366,62.56
Lamirada,1,0,0.0
Lamont,17,6,35.29
Lancaster,1232,660,53.57
Landers,10,3,30.0
Larkspur,92,73,79.35
Lathrop,494,249,50.4
Laton,1,0,0.0
Lawndale,519,219,42.2
Laytonville,6,4,66.67
Le Grand,4,0,0.0
Lebec,3,2,66.67
Lee Vining,2,1,50.0
Leggett,2,1,50.0
Lemon Grove,268,106,39.55
Lemoore,55,20,36.36
Lennox,1,0,0.0
Leona Valley,7,2,28.57
Lewiston,6,2,33.33
Lincoln,571,357,62.52
Linden,12,9,75.0
Lindsay,41,12,29.27
Litchfield,2,1,50.0
Little River,2,2,100.0
Littlerock,27,11,40.74
Live Oak,85,58,68.24
Livermore,1260,744,59.05
Livingston,72,42,58.33
Llano,5,1,20.0
Lockeford,8,3,37.5
Lockwood,1,1,100.0
Lodi,1203,504,41.9
Loleta,2,1,50.0
Loma Linda,447,239,53.47
Lomita,381,197,51.71
Lompoc,138,72,52.17
Lone Pine,3,0,0.0
Long Beach,3522,2097,59.54
Lookout,3,3,100.0
Loomis,112,86,76.79
Los Alamitos,289,184,63.67
Los Alamos,7,4,57.14
Los Altos,900,661,73.44
Los Altos Hills,280,194,69.29
Los Angeles,25415,14415,56.72
Los Banos,110,63,57.27
Los Feliz,5,1,20.0
Los Gatos,1274,864,67.82
Los Molinos,8,6,75.0
Los Olivos,7,4,57.14
Los Osos,62,46,74.19
Lost Hills,1,1,100.0
Lotus,3,2,66.67
Lower Lake,6,3,50.0
Lucerne,11,6,54.55
Lucerne Valley,11,3,27.27
Lynwood,67,23,34.33
Lytle Creek,3,3,100.0
Mad River,1,1,100.0
Madera,397,207,52.14
Magalia,24,14,58.33
Malibu,303,199,65.68
Mammoth Lakes,34,19,55.88
Manchester,8,5,62.5
Manhattan Bch,5,4,80.0
Manhattan Beach,597,421,70.52
Manteca,855,402,47.02
March Air Resrv Base,1,0,0.0
Mare Island,7,6,85.71
Maricopa,2,0,0.0
Marin City,75,39,52.0
Marina,366,207,56.56
Marina Del Rey,647,362,55.95
Marina Dl Rey,6,2,33.33
Mariposa,27,20,74.07
Markleeville,1,1,100.0
Martinez,577,361,62.56
Marysville,109,56,51.38
Mather,60,41,68.33
Maxwell,1,1,100.0
Maywood,20,9,45.0
Mc Clellan,1,1,100.0
Mc Farland,19,3,15.79
Mc Kittrick,1,0,0.0
Mcarthur,6,4,66.67
Mccloud,2,1,50.0
Mckinleyville,84,56,66.67
Meadow Vista,24,20,83.33
Mecca,4,3,75.0
Mendocino,10,7,70.0
Mendota,40,10,25.0
Menifee,946,526,55.6
Menlo Park,851,610,71.68
Mentone,95,36,37.89
Merced,538,250,46.47
Meridian,3,2,66.67
Middletown,7,4,57.14
Midpines,1,1,100.0
Midway City,60,33,55.0
Mill Valley,409,318,77.75
Millbrae,617,353,57.21
Millville,6,2,33.33
Milpitas,1059,612,57.79
Mineral,2,1,50.0
Miramonte,2,1,50.0
Miranda,7,3,42.86
Mission Hills,198,107,54.04
Mission Viejo,3955,2425,61.31
Miwuk Village,4,3,75.0
Moccasin,2,1,50.0
Modesto,2334,1086,46.53
Mojave,14,4,28.57
Mokelumne Hill,4,4,100.0
Monrovia,390,262,67.18
Montague,12,10,83.33
Montara,20,14,70.0
Montclair,237,112,47.26
Monte Rio,1,1,100.0
Monte Sereno,137,105,76.64
Montebello,215,116,53.95
Monterey,465,261,56.13
Monterey Park,240,121,50.42
Montrose,119,70,58.82
Moorpark,659,425,64.49
Moraga,297,185,62.29
Moreno Valley,1754,723,41.22
Morgan Hill,739,495,66.98
Morongo Valley,14,8,57.14
Morro Bay,49,41,83.67
Moss Beach,20,17,85.0
Moss Landing,3,1,33.33
Mount Aukum,1,1,100.0
Mount Hermon,2,2,100.0
Mountain Center,13,7,53.85
Mountain House,787,490,62.26
Mountain Ranch,6,2,33.33
Mountain View,1315,848,64.49
Mt Baldy,3,3,100.0
Mt Shasta,28,18,64.29
Murphys,8,6,75.0
Murrieta,1871,1010,53.98
N Hollywood,24,15,62.5
N Holywood,1,0,0.0
Nan,7,3,42.86
Napa,500,345,69.0
Nas Lemoore,6,1,16.67
National City,186,84,45.16
Navarro,1,1,100.0
Needles,15,4,26.67
Nevada City,95,68,71.58
Newark,919,455,49.51
Newberry Springs,14,6,42.86
Newbury Park,724,481,66.44
Newcastle,35,24,68.57
Newhall,348,217,62.36
Newman,44,20,45.45
Newport Beach,1303,791,60.71
Newport Coast,769,485,63.07
Nicasio,1,1,100.0
Nice,12,6,50.0
Nicolaus,1,0,0.0
Niland,2,0,0.0
Nipomo,104,77,74.04
Norco,203,117,57.64
North Fork,2,2,100.0
North Highlands,153,73,47.71
North Hills,809,477,58.96
North Hollywood,1508,885,58.69
North Palm Springs,1,0,0.0
North San Juan,1,1,100.0
Northridge,3145,1808,57.49
Norwalk,499,256,51.3
Novato,699,465,66.52
Nuevo,29,10,34.48
Oak Hills,83,39,46.99
Oak Park,336,203,60.42
Oak Run,2,1,50.0
Oak View,11,6,54.55
Oakdale,123,63,51.22
Oakhurst,37,25,67.57
Oakland,6357,2901,45.63
Oakley,410,212,51.71
Occidental,9,6,66.67
Oceano,17,8,47.06
Oceanside,1201,798,66.44
Ocotillo,1,0,0.0
Ocotillo Wells,1,0,0.0
Ojai,104,71,68.27
Olancha,1,1,100.0
Old Station,1,1,100.0
Olema,1,1,100.0
Olivehurst,61,32,52.46
Olympic Valley,8,5,62.5
Ono,1,0,0.0
Ontario,1041,514,49.38
Orange,2025,1194,58.96
Orange Cove,24,9,37.5
Orangevale,296,195,65.88
Orcutt,1,0,0.0
Oregon House,7,5,71.43
Orinda,405,297,73.33
Orland,19,13,68.42
Orleans,1,0,0.0
Oro Grande,1,1,100.0
Orosi,11,4,36.36
Oroville,97,50,51.55
Oxnard,616,377,61.2
Pacheco,47,23,48.94
Pacific Grove,222,121,54.5
Pacific House,2,2,100.0
Pacific Palisades,642,456,71.03
Pacific Plsds,4,3,75.0
Pacifica,471,305,64.76
Pacoima,120,54,45.0
Paicines,1,1,100.0
Pala,3,1,33.33
Palermo,1,0,0.0
Palm Desert,703,422,60.03
Palm Springs,421,264,62.71
Palmdale,1165,622,53.39
Palo Alto,1296,904,69.75
Palo Cedro,24,17,70.83
Palo Verde,1,1,100.0
Palos Verdes Estates,318,226,71.07
Palos Verdes Pen,48,28,58.33
Panamint Valley,2,2,100.0
Panorama City,434,206,47.47
Paradise,47,30,63.83
Paramount,146,66,45.21
Parlier,12,2,16.67
Pasadena,2082,1332,63.98
Paso Robles,198,121,61.11
Patterson,227,88,38.77
Patton,3,1,33.33
Pauma Valley,6,4,66.67
Paynes Creek,2,2,100.0
Pearblossom,3,2,66.67
Pebble Beach,63,47,74.6
Penn Valley,42,27,64.29
Penngrove,33,21,63.64
Penryn,12,9,75.0
Perris,448,207,46.21
Pescadero,6,6,100.0
Petaluma,586,430,73.38
Petrolia,2,1,50.0
Phelan,28,12,42.86
Pico Rivera,129,74,57.36
Piedmont,173,136,78.61
Piercy,1,0,0.0
Pike City,3,2,66.67
Pilot Hill,4,3,75.0
Pine Grove,21,20,95.24
Pine Mountain Club,13,6,46.15
Pine Valley,3,2,66.67
Pinole,281,136,48.4
Pinon Hills,19,11,57.89
Pioneer,10,7,70.0
Pioneertown,7,2,28.57
Piru,4,3,75.0
Pismo Beach,87,66,75.86
Pittsburg,770,367,47.66
Pixley,5,1,20.0
Placentia,823,472,57.35
Placerville,154,119,77.27
Planada,6,5,83.33
Playa Del Rey,280,186,66.43
Playa Vista,120,67,55.83
Pleasant Grove,8,6,75.0
Pleasant Hill,790,467,59.11
Pleasanton,1562,945,60.5
Plumas Lake,96,51,53.12
Plymouth,11,7,63.64
Point Arena,2,2,100.0
Point Reyes Station,3,3,100.0
Pollock Pines,33,23,69.7
Pomona,898,434,48.33
Poplar,1,0,0.0
Port Costa,1,1,100.0
Port Hueneme,77,54,70.13
Porter Ranch,130,84,64.62
Porterville,304,121,39.8
Portola,10,4,40.0
Portola Valley,76,62,81.58
Potrero,2,1,50.0
Potter Valley,2,2,100.0
Poway,734,476,64.85
Prather,2,0,0.0
Princeton,1,1,100.0
Proberta,1,0,0.0
Quartz Hill,9,5,55.56
Quincy,16,8,50.0
Ramona,211,148,70.14
Rancho Cordova,828,464,56.04
Rancho Cucamonga,4051,2148,53.02
Rancho Dominguez,5,2,40.0
Rancho Mirage,272,188,69.12
Rancho Mission Viejo,290,212,73.1
Rancho Murieta,38,28,73.68
Rancho Palos Verdes,1533,1018,66.41
Rancho Santa Fe,341,231,67.74
Rancho Santa Margarita,1157,756,65.34
Ravendale,2,0,0.0
Raymond,7,4,57.14
Red Bluff,74,45,60.81
Redding,398,217,54.52
Redlands,1154,634,54.94
Redondo Beach,1478,949,64.21
Redway,1,0,0.0
Redwood City,1383,930,67.25
Redwood Valley,16,7,43.75
Reedley,134,38,28.36
Rescue,28,15,53.57
Reseda,1481,728,49.16
Rialto,424,194,45.75
Richgrove,10,5,50.0
Richmond,1451,730,50.31
Richvale,4,2,50.0
Ridgecrest,143,77,53.85
Rimforest,4,3,75.0
Rio Dell,7,0,0.0
Rio Linda,66,37,56.06
Rio Oso,1,0,0.0
Rio Vista,52,42,80.77
Ripon,121,84,69.42
Riverbank,163,72,44.17
Riverdale,49,16,32.65
Riverside,4013,1977,49.26
Rllng Hls Est,1,1,100.0
Robbins,15,14,93.33
Rocklin,992,639,64.42
Rodeo,87,53,60.92
Rohnert Park,419,231,55.13
Rolling Hills,41,27,65.85
Rolling Hills Est,212,134,63.21
Romoland,15,7,46.67
Rosamond,72,38,52.78
Rosemead,97,50,51.55
Roseville,2647,1610,60.82
Ross,21,17,80.95
Rough And Ready,11,5,45.45
Rowland Heights,329,186,56.53
Royal Oaks,29,15,51.72
Running Springs,14,8,57.14
Ruth,1,1,100.0
Sacramento,9850,5234,53.14
Saint Helena,40,32,80.0
Salida,91,28,30.77
Salinas,616,358,58.12
Salton City,6,2,33.33
Salyer,2,2,100.0
San Andreas,15,8,53.33
San Anselmo,125,96,76.8
San Bernardino,1149,427,37.16
San Bruno,851,451,53.0
San Carlos,685,468,68.32
San Clemente,879,615,69.97
San Diego,20017,11166,55.78
San Dimas,824,489,59.34
San Fernando,93,42,45.16
San Francisco,11797,7479,63.4
San Gabriel,407,240,58.97
San Geronimo,5,4,80.0
San Gregorio,2,1,50.0
San Jacinto,264,102,38.64
San Joaquin,28,9,32.14
San Jose,13644,8435,61.82
San Juan Bautista,16,8,50.0
San Juan Capistrano,481,336,69.85
San Leandro,1234,489,39.63
San Lorenzo,195,86,44.1
San Luis Obispo,418,250,59.81
San Marcos,1392,888,63.79
San Marino,167,121,72.46
San Martin,46,29,63.04
San Mateo,1938,1224,63.16
San Miguel,8,6,75.0
San Pablo,329,145,44.07
San Pedro,1397,867,62.06
San Quentin,6,0,0.0
San Rafael,763,518,67.89
San Ramon,2571,1610,62.62
San Simeon,1,1,100.0
San Ysidro,51,28,54.9
Sand City,6,4,66.67
Sanger,107,54,50.47
Santa Ana,1805,956,52.96
Santa Barbara,1180,816,69.15
Santa Clara,2861,1723,60.22
Santa Clarita,430,300,69.77
Santa Cruz,914,568,62.14
Santa Fe Springs,62,32,51.61
Santa Margarita,5,3,60.0
Santa Maria,344,186,54.07
Santa Monica,2582,1514,58.64
Santa Nella,7,2,28.57
Santa Paula,57,36,63.16
Santa Rosa,1104,716,64.86
Santa Rosa Valley,66,49,74.24
Santa Ynez,22,16,72.73
Santa Ysabel,8,6,75.0
Santee,845,500,59.17
Saratoga,883,599,67.84
Saugus,739,481,65.09
Sausalito,129,86,66.67
Scotia,3,1,33.33
Scott Bar,1,1,100.0
Scotts Valley,183,118,64.48
Seal Beach,331,235,71.0
Seaside,283,146,51.59
Sebastopol,164,131,79.88
Seeley,2,0,0.0
Seiad Valley,2,2,100.0
Selma,152,38,25.0
Sf-Presidio,54,34,62.96
Sf-Treasure Island,49,22,44.9
Shadow Hills,1,1,100.0
Shafter,113,51,45.13
Shandon,1,0,0.0
Shasta,1,0,0.0
Shasta Lake,24,14,58.33
Shaver Lake,2,0,0.0
Sheep Ranch,1,0,0.0
Sheridan,16,14,87.5
Sherman Oaks,1963,1199,61.08
Shingle Springs,65,42,64.62
Shingletown,12,7,58.33
Sierra City,2,0,0.0
Sierra Madre,166,122,73.49
Signal Hill,142,78,54.93
Silverado,41,28,68.29
Simi Valley,2083,1307,62.75
Skyforest,6,3,50.0
Sloughhouse,6,3,50.0
Smartsville,7,5,71.43
Smith River,3,2,66.67
Soda Springs,3,2,66.67
Solana Beach,141,94,66.67
Soledad,77,37,48.05
Solvang,39,23,58.97
Somerset,17,11,64.71
Somis,29,21,72.41
Sonoma,160,136,85.0
Sonora,79,62,78.48
