school_district,count
gateway unified school district,75
river delta joint unified school district,74
southern kern unified school district,73
dixon unified school district,73
brawley union high school district,71
templeton unified school district,70
bret harte union high school district,69
lynwood unified school district,68
kingsburg joint union high school district,68
imperial unified school district,67
paradise unified school district,67
lassen union high school district,66
mojave unified school district,65
lemoore union high school district,63
del norte county unified school district,62
firebaugh-las deltas unified school district,62
healdsburg unified school district,61
newman-crows landing unified school district,60
fort bragg unified school district,58
konocti unified school district,58
santa paula unified school district,54
silver valley unified school district,54
riverdale joint unified school district,53
coast unified school district,51
riverbank unified school district,50
sutter union high school district,50
plumas unified school district,49
fillmore unified school district,49
fortuna union high school district,49
yreka union high school district,47
willits unified school district,47
siskiyou union high school district,46
el tejon unified school district,46
golden valley unified school district,46
st. helena unified school district,45
mariposa county unified school district,45
corcoran joint unified school district,44
kelseyville unified school district,44
linden unified school district,43
black oak mine unified school district,42
hughson unified school district,41
reef-sunset unified school district,41
mendota unified school district,40
mammoth unified school district,39
lindsay unified school district,39
escalon unified school district,39
mountain empire unified school district,39
nye county school district,38
middletown unified school district,38
wasco union high school district,38
bishop unified school district,37
woodlake unified school district,37
golden plains unified school district,36
trinity alps unified school district,35
bassett unified school district,35
cloverdale unified school district,34
gridley unified school district,34
fowler unified school district,32
lakeport unified school district,32
aromas-san juan unified school district,32
southern humboldt joint unified school district,31
calistoga joint unified school district,31
winters joint unified school district,30
corning union high school district,29
delhi unified school district,29
palo verde unified school district,29
pierce joint unified school district,28
taft union high school district,28
big oak flat-groveland unified school district,27
summerville union high school district,27
hilmar unified school district,26
cutler-orosi joint unified school district,26
upper lake unified school district,26
julian union high school district,26
sierra unified school district,25
gustine unified school district,25
shoreline unified school district,24
farmersville unified school district,24
waterford unified school district,24
biggs unified school district,23
point arena joint union high school district,23
exeter unified school district,21
mendocino unified school district,21
scott valley unified school district,20
orland joint unified school district,19
fall river joint unified school district,18
sunol glen unified school district,18
esparto unified school district,18
east feliciana parish school district,17
colusa unified school district,17
modoc joint unified school district,16
needles unified school district,15
dos palos-oro loma joint unified school district,15
willows unified school district,15
caruthers unified school district,14
la honda-pescadero unified school district,14
dunsmuir joint union high school district,13
lucerne valley unified school district,13
los molinos unified school district,13
howell mountain elementary school district,13
parlier unified school district,12
eastern sierra unified school district,12
east nicolaus joint union high school district,10
mcfarland unified school district,10
chawanakee unified school district,10
calipatria unified school district,10
klamath-trinity joint unified school district,10
sierra-plumas joint unified school district,10
le grand union high school district,10
williams unified school district,8
anderson valley unified school district,8
laytonville unified school district,8
durham unified school district,8
ferndale unified school district,8
alpine county unified school district,7
,7
muroc joint unified school district,6
mountain valley unified school district,6
warner unified school district,6
lone pine unified school district,5
alpaugh unified school district,5
mclean county school district,4
surprise valley joint unified school district,4
big valley joint unified school district,4
hamilton unified school district,4
geyserville unified school district,4
leggett valley unified school district,4
trona joint unified school district,4
chippewa hills school district,4
gonzales unified school district,4
maine consolidated school district,3
big pine unified school district,3
potter valley community unified school district,3
riverdale local school district,3
owens valley unified school district,3
death valley unified school district,3
holtville unified school district,3
maricopa unified school district,3
hot springs elementary school district,3
mattole unified school district,2
big sur unified school district,2
southern trinity joint unified school district,2
farwell area schools,2
stony creek joint unified school district,2
westwood unified school district,2
san pasqual valley unified school district,2
campbell county public schools,2
fort sage unified school district,2
bureau valley community unit school district,2
pittsburg school district,1
ballard county school district,1
bastrop independent school district,1
mesa unified district,1
borrego springs unified school district,1
southern regional school district,1
hawaii department of education,1
maxwell unified school district,1
westmont hilltop school district,1
montgomery township school district,1
clark county school district,1
princeton joint unified school district,1
sunnyvale elementary school district,1
north tippah school district,1
shandon joint unified school district,1
berkeley county school district,1
rockwood r-vi school district,1
san francisco unified,1
carlyle community unit school district,1
